scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_broad_policy,expected_finegrained_policy,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,16,policy_only-20260814T154448Z,A04-r016,200,allow,allow,true,15.452100,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,17,policy_only-20260814T154448Z,A04-r017,200,allow,allow,true,18.699300,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,18,policy_only-20260814T154448Z,A04-r018,200,allow,allow,true,17.458100,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,19,policy_only-20260814T154448Z,A04-r019,200,allow,allow,true,18.575300,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,20,policy_only-20260814T154448Z,A04-r020,200,allow,allow,true,18.081600,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,21,policy_only-20260814T154448Z,A04-r021,200,allow,allow,true,16.370600,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,22,policy_only-20260814T154448Z,A04-r022,200,allow,allow,true,25.483400,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,23,policy_only-20260814T154448Z,A04-r023,200,allow,allow,true,16.998300,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,24,policy_only-20260814T154448Z,A04-r024,200,allow,allow,true,16.060700,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,25,policy_only-20260814T154448Z,A04-r025,200,allow,allow,true,17.893000,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,26,policy_only-20260814T154448Z,A04-r026,200,allow,allow,true,16.171700,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,27,policy_only-20260814T154448Z,A04-r027,200,allow,allow,true,17.245000,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,28,policy_only-20260814T154448Z,A04-r028,200,allow,allow,true,16.717600,
