mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
proposed,policyspace-proposed-20260818T021831Z,PS-loan-aml-loan_reviewer-loan_approval,loan,aml,loan_reviewer,loan_approval,/aml-screening,POST,403,deny,7.361300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-aml-loan_reviewer-loan_screening,loan,aml,loan_reviewer,loan_screening,/aml-screening,POST,200,allow,19.129400,,allow,role_based_microsegment_policy,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-approval-loan_approver-loan_approval,loan,approval,loan_approver,loan_approval,/approval-requests,POST,403,deny,5.739000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-approval-loan_approver-loan_screening,loan,approval,loan_approver,loan_screening,/approval-requests,POST,403,deny,7.409200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-approval-loan_reviewer-loan_approval,loan,approval,loan_reviewer,loan_approval,/approval-requests,POST,200,allow,17.205100,,allow,role_based_microsegment_policy,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-approval-loan_reviewer-loan_screening,loan,approval,loan_reviewer,loan_screening,/approval-requests,POST,403,deny,5.303900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-credit-loan_approver-loan_approval,loan,credit,loan_approver,loan_approval,/credit-assessment,POST,403,deny,7.671100,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-credit-loan_approver-loan_screening,loan,credit,loan_approver,loan_screening,/credit-assessment,POST,403,deny,11.355900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-credit-loan_reviewer-loan_approval,loan,credit,loan_reviewer,loan_approval,/credit-assessment,POST,403,deny,5.688500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-credit-loan_reviewer-loan_screening,loan,credit,loan_reviewer,loan_screening,/credit-assessment,POST,200,allow,17.710100,,allow,role_based_microsegment_policy,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-customer-loan_approver-loan_approval,loan,customer,loan_approver,loan_approval,/customer-profile/CASE-0001,GET,403,deny,5.774200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-customer-loan_approver-loan_screening,loan,customer,loan_approver,loan_screening,/customer-profile/CASE-0001,GET,403,deny,5.754200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-customer-loan_reviewer-loan_approval,loan,customer,loan_reviewer,loan_approval,/customer-profile/CASE-0001,GET,403,deny,6.719200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-customer-loan_reviewer-loan_screening,loan,customer,loan_reviewer,loan_screening,/customer-profile/CASE-0001,GET,200,allow,14.727800,,allow,role_based_microsegment_policy,false
