scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_baseline,expected_proposed,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,5,baseline-20260814T012845Z,A03-r005,200,allow,allow,true,16.633700,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,6,baseline-20260814T012845Z,A03-r006,200,allow,allow,true,17.733100,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,7,baseline-20260814T012845Z,A03-r007,200,allow,allow,true,19.681400,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,8,baseline-20260814T012845Z,A03-r008,200,allow,allow,true,19.667600,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,9,baseline-20260814T012845Z,A03-r009,200,allow,allow,true,19.622900,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,10,baseline-20260814T012845Z,A03-r010,200,allow,allow,true,16.804400,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,11,baseline-20260814T012845Z,A03-r011,200,allow,allow,true,19.052300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,12,baseline-20260814T012845Z,A03-r012,200,allow,allow,true,15.880900,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,13,baseline-20260814T012845Z,A03-r013,200,allow,allow,true,14.825800,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,14,baseline-20260814T012845Z,A03-r014,200,allow,allow,true,15.701300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,15,baseline-20260814T012845Z,A03-r015,200,allow,allow,true,14.772200,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,16,baseline-20260814T012845Z,A03-r016,200,allow,allow,true,15.308800,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,17,baseline-20260814T012845Z,A03-r017,200,allow,allow,true,16.710800,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,18,baseline-20260814T012845Z,A03-r018,200,allow,allow,true,16.420100,
