flow,batch_id,decision_ms_median,total_ms_median,n,mode
loan_to_credit,18,1.241671500011421,11.413604500006613,200,policy_only
loan_to_credit,19,1.2288175000065849,11.547825999997485,200,policy_only
loan_to_credit,20,1.1925059999953191,11.369995500004393,200,policy_only
loan_to_credit,21,1.2285964999989574,11.52104199999826,200,policy_only
loan_to_credit,22,1.2670090000028722,11.571860500026787,200,policy_only
loan_to_credit,23,1.2312930000177857,11.644621000016286,200,policy_only
loan_to_credit,24,1.2315245000138475,11.509045499991544,200,policy_only
loan_to_credit,25,1.2426190000098813,11.587378000001536,200,policy_only
loan_to_credit,26,1.2361654999892835,11.446995000028437,200,policy_only
loan_to_credit,27,1.2737059999778921,11.525667499995507,200,policy_only
loan_to_credit,28,1.2529840000183867,11.575963500007447,200,policy_only
loan_to_credit,29,1.2279609999836794,11.40153249997411,200,policy_only
loan_to_credit,30,1.2481970000237652,11.57893849998004,200,policy_only
loan_to_customer,1,1.2306790000025103,9.461383000008539,200,policy_only
loan_to_customer,2,1.2308060000023602,9.637702000006243,200,policy_only
loan_to_customer,3,1.2197685000003844,9.49358150000279,200,policy_only
loan_to_customer,4,1.2452940000002855,9.644842000007259,200,policy_only
loan_to_customer,5,1.203291500004866,9.548031000001345,200,policy_only
loan_to_customer,6,1.2406404999936171,9.776417499999468,200,policy_only
loan_to_customer,7,1.2449865000050409,9.752196000000879,200,policy_only
loan_to_customer,8,1.2435375000023896,9.797206499996491,200,policy_only
loan_to_customer,9,1.260492000000113,9.864219500002491,200,policy_only
loan_to_customer,10,1.2403574999950706,9.685837000006359,200,policy_only
loan_to_customer,11,1.2148180000011166,9.593658999996535,200,policy_only
loan_to_customer,12,1.2209140000010166,9.583799500006762,200,policy_only
loan_to_customer,13,1.2539709999970228,9.717793500001903,200,policy_only
loan_to_customer,14,1.2355454999948279,9.724645500000406,200,policy_only
loan_to_customer,15,1.2073660000027076,9.599025999989408,200,policy_only
loan_to_customer,16,1.2517920000050253,9.735901500008026,200,policy_only
loan_to_customer,17,1.2166660000048068,9.571731999997724,200,policy_only
loan_to_customer,18,1.2131585000076939,9.558398000010015,200,policy_only
loan_to_customer,19,1.2397219999940035,9.659122499996897,200,policy_only
loan_to_customer,20,1.2466924999898765,9.731103999996549,200,policy_only
loan_to_customer,21,1.2364894999876697,9.702820999990536,200,policy_only
loan_to_customer,22,1.213417000002437,9.529482500013842,200,policy_only
loan_to_customer,23,1.2149390000075755,9.763988999992534,200,policy_only
loan_to_customer,24,1.2474859999969112,9.635064000008242,200,policy_only
loan_to_customer,25,1.2376014999944118,9.773426999998946,200,policy_only
loan_to_customer,26,1.2275364999965177,9.653292999999508,200,policy_only
loan_to_customer,27,1.2689534999879015,9.671316500003968,200,policy_only
loan_to_customer,28,1.2214070000027277,9.491596999993135,200,policy_only
loan_to_customer,29,1.2110469999981888,9.532606500002316,200,policy_only
loan_to_customer,30,1.2363500000134309,9.58493749999434,200,policy_only
loan_to_aml,1,1.322364499969808,11.997715999996217,200,segmentation_only
loan_to_aml,2,1.3073855000129697,11.979413499830116,200,segmentation_only
loan_to_aml,3,1.28608150009768,11.89267699987795,200,segmentation_only
loan_to_aml,4,1.252169000053982,11.738473500031432,200,segmentation_only
loan_to_aml,5,1.2515399999983856,11.52463199991871,200,segmentation_only
loan_to_aml,6,1.2550349999855825,11.735112999986086,200,segmentation_only
loan_to_aml,7,1.249573999984932,11.669451000102526,200,segmentation_only
loan_to_aml,8,1.2589599999728307,11.818659500022477,200,segmentation_only
